,date,burn_type,burn_number,length,power,factor_before,factor_after,dead_before,dead_after,dir,result
1315,17-03-2022 11.25.29,pixel-burn4,28,50.0000,5.8750,0.9700273439702317,0.9834203780619868,0.11315625,0.08811875,-1,FAILED
1316,17-03-2022 11.26.33,pixel-burn4,29,50.0000,5.8750,0.9834203780619868,0.98796788780653,0.08811875,0.058775,-1,FAILED
1317,17-03-2022 11.27.37,pixel-burn4,30,50.0000,5.8750,0.98796788780653,0.9836242971323685,0.058775,0.08745,-1,FAILED
1318,17-03-2022 11.28.42,pixel-burn4,31,50.0000,5.8750,0.9836242971323685,0.9764095159515952,0.08745,0.09100625,-1,FAILED
1319,17-03-2022 11.29.46,pixel-burn4,32,50.0000,5.8750,0.9764095159515952,0.985437961314584,0.09100625,0.0626375,-1,FAILED
1320,17-03-2022 11.30.49,pixel-burn4,33,50.0000,5.8750,0.985437961314584,0.9977561366752024,0.0626375,0.03348125,-1,FAILED
1321,17-03-2022 11.31.53,pixel-burn4,34,50.0000,5.8750,0.9977561366752024,0.9943330369347968,0.03348125,0.05814375,-1,FAILED
1322,17-03-2022 11.32.59,pixel-burn4,35,50.0000,5.8750,0.9943330369347968,0.9975556003406557,0.05814375,0.038625,-1,FAILED
1323,17-03-2022 11.34.04,none,36,-,-,0.9975556003406557,-,0.038625,-,-1,FAILED
1324,17-03-2022 09.43.48,pixel-burn4,0,50.0000,6.5000,0.8393112979092973,0.6064981015401134,0.01409375,0.0337625,-1,SUCCESS
1325,17-03-2022 09.44.51,pixel-burn4,1,50.0000,6.3750,0.6064981015401134,0.25263452629435423,0.0337625,0.01785625,-1,SUCCESS
1326,17-03-2022 09.45.54,shining-moon3,2,40.0000,6.2500,0.25263452629435423,0.022475747188950585,0.01785625,0.01171875,-1,SUCCESS
1327,17-03-2022 09.46.58,none,3,-,-,0.022475747188950585,-,0.01171875,-,-1,SUCCESS
1328,17-03-2022 15.04.38,shining-moon3,0,40.0000,6.0000,0.6005145167217935,0.3779782306475069,0.01364375,0.0244375,-1,SUCCESS
1329,17-03-2022 15.05.41,shining-moon3,1,40.0000,5.8333,0.3779782306475069,0.16122368869812548,0.0244375,0.0287625,-1,SUCCESS
1330,17-03-2022 15.06.45,shining-moon3,2,40.0000,5.6667,0.16122368869812548,0.10977880960277572,0.0287625,0.02008125,-1,SUCCESS
1331,17-03-2022 15.07.48,none,3,-,-,0.10977880960277572,-,0.02008125,-,-1,SUCCESS
1332,17-03-2022 14.45.50,shining-moon3,0,40.0000,6.0000,0.7719558681075369,0.6801119097616525,0.00639375,0.0148375,-1,SUCCESS
1333,17-03-2022 14.46.55,shining-moon3,1,40.0000,5.8333,0.6801119097616525,0.5126885639304711,0.0148375,0.02595,-1,SUCCESS
1334,17-03-2022 14.47.58,shining-moon3,2,40.0000,5.6667,0.5126885639304711,0.30576251156099066,0.02595,0.02690625,-1,SUCCESS
1335,17-03-2022 14.49.02,shining-moon3,3,40.0000,5.5000,0.30576251156099066,0.17818726630128567,0.02690625,0.02385625,-1,SUCCESS
